SRR,Species,MappedReads,Coverage
SRR11097120,Lama glama,491618399,36.0637
SRR11905246,Lama glama,171376883,12.2673
SRR11905247,Lama glama,165085927,11.7922
SRR11905248,Lama glama,217537792,15.5323
SRR11905249,Lama guanicoe guanicoe,200851429,14.3646
SRR11905250,Lama guanicoe guanicoe,188031018,13.4662
SRR11905251,Lama guanicoe guanicoe,187275043,13.3961
SRR11905252,Lama guanicoe guanicoe,140212042,9.97171
SRR11905253,Vicugna pacos,186146177,13.2803
SRR11905254,Vicugna pacos,189909455,13.5571
SRR11905255,Vicugna pacos,201590789,14.3947
SRR11905256,Vicugna pacos,185358170,13.2267
SRR11905257,Vicugna pacos,185332398,13.2364
SRR11905258,Vicugna pacos,169987706,12.1296
SRR11905259,Vicugna pacos,165872248,11.8739
SRR11905260,Vicugna vicugna vicugna,229934794,16.4336
SRR11905261,Lama guanicoe cacsilensis,185842108,13.2745
SRR11905262,Vicugna vicugna vicugna,217204935,15.5116
SRR11905263,Vicugna vicugna vicugna,123963205,8.3394
SRR11905264,Vicugna vicugna vicugna,191577871,13.6618
SRR11905265,Vicugna vicugna mensalis,170790769,12.213
SRR11905266,Vicugna vicugna mensalis,176432104,12.6135
SRR11905267,Vicugna vicugna mensalis,188907752,13.4871
SRR11905268,Lama glama,178756980,12.7585
SRR11905269,Lama glama,188401676,13.471
SRR11905270,Lama glama,189943757,13.5714
SRR11905271,Lama glama,180210540,12.8814
SRR11905272,Lama guanicoe cacsilensis,180552650,12.9198
SRR11905273,Lama guanicoe cacsilensis,173285045,12.3893
SRR13340600,Vicugna pacos,516975876,38.6539
SRR13340601,Vicugna pacos,544606229,40.4812
SRR13340602,Vicugna pacos,517578794,38.4763
SRR13340603,Vicugna pacos,537716417,39.3091
SRR13340604,Vicugna pacos,537120803,39.5506
SRR13340605,Vicugna pacos,527997778,39.0347
SRR15927273,Vicugna pacos,558304010,39.4621
SRR15966550,Lama glama,570975155,40.3747
SRR16008793,Lama guanicoe cacsilensis,542044911,38.3404
SRR16060509,Vicugna vicugna mensalis,582149985,41.1102
SRR16077698,Vicugna pacos,553181547,39.0994
SRR16097856,Vicugna pacos,469252099,32.8963